Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized)
X14,-1.41367,-0.30558,1.31805,1.15043
X15,-1.03964,-1.42885,6.3934,-0.578304
X16,-0.517772,-0.797399,3.38905,0.748384
X17,-1.20204,-1.22511,-0.928248,0.317705
X18,0.492264,0.105989,-0.281448,1.5826
X19,-0.93555,-0.985551,-0.749495,0.104968
X20,0.0104341,0.423816,-0.39803,1.14342
X21,0.0452514,0.635478,1.06644,-1.42454
X22,0.980668,-0.306152,-0.138291,-0.833715
X23,-0.729861,-1.26795,0.567582,1.40453
X24,-1.92119,0.766673,1.01478,1.54004
X25,0.85413,0.528691,0.818693,1.33645
X26,-0.172355,-0.458886,0.399026,-1.03927
X27,0.962578,-0.0434674,1.99998,-0.246138
X28,-0.757873,-1.32038,0.500033,0.066527
X29,1.53904,-0.670076,1.05702,0.900287
X30,-0.0187111,-0.836587,-0.110314,0.952266
X31,0.718727,-0.885124,0.962449,1.36267
X32,0.921075,-0.508664,0.000652082,0.300376
X33,0.749835,0.1606,0.782006,-0.827256
X34,0.515315,-0.557561,-0.111993,0.731762
X35,-0.95118,0.918964,-0.273084,0.131844
X36,0.57199,-0.518149,1.05976,0.814898
X37,0.187794,0.502622,0.496055,-0.699399
X38,-0.877888,-0.538208,1.14749,2.40972
X39,-0.0432952,0.0586894,1.0948,0.247495
X40,1.49618,1.48614,-0.0325129,-0.135853
X41,-1.49601,1.31317,2.47187,-0.0370796
X42,2.1556,0.778327,0.225789,0.107683
