Contour,Mode 1,Mode 2,Mode 3,Mode 4
X18,26.852,2.4862,-4.00178,17.3673
X19,-51.0323,-23.1182,-10.6567,1.15191
X20,0.569157,9.9415,-5.6594,12.5477
X21,2.46837,14.9065,15.1632,-15.6327
X22,53.4934,-7.18145,-1.9663,-9.14908
X23,-39.8124,-29.7426,8.07018,15.4132
X24,-104.797,17.9839,14.4287,16.9002
X25,46.591,12.4016,11.6406,14.666
X26,-9.40161,-10.7641,5.67356,-11.4048
X27,52.5066,-1.01962,28.4368,-2.70108
X28,-41.3404,-30.9724,7.10973,0.730058
X29,83.9514,-15.718,15.0292,9.87963
X30,-1.02065,-19.6239,-1.56851,10.45
X31,39.205,-20.7625,13.6846,14.9538
X32,50.2427,-11.9318,0.00927165,3.29628
X33,40.9019,3.76722,11.119,-9.07819
X34,28.1094,-13.0788,-1.59238,8.03025
X35,-51.8849,21.5562,-3.88285,1.44684
X36,31.2008,-12.1543,15.0682,8.94258
X37,10.2438,11.7901,7.05317,-7.67511
X38,-47.887,-12.6248,16.3156,26.4439
X39,-2.36166,1.37668,15.5664,2.71597
X40,81.6133,34.8604,-0.462286,-1.49083
X41,-81.6043,30.8031,35.1464,-0.406907
X42,117.584,18.2573,3.21039,1.1817
